Tick PD1 PD2 PD3
0712 188 177 191
0713 188 177 187
0714 188 177 181
0715 188 177 171
0716 188 177 156
0717 188 177 136
0718 188 177 112
0719 188 177 089
0720 188 177 066
0721 188 177 047
0722 188 177 033
0723 188 177 022
0724 188 178 014
0725 188 178 010
0726 188 177 008
0727 187 177 006
0728 187 177 004
0729 186 177 003
0730 186 177 002
0731 185 177 001
0732 184 177 001
0733 183 177 000
0734 181 177 000
0735 179 178 000
0736 176 178 000
0737 172 178 001
0738 166 178 001
0739 159 178 002
0740 150 178 002
0741 139 178 002
0742 127 177 003
0743 114 177 003
0744 099 177 004
0745 084 177 004
0746 069 177 005
0747 056 177 005
0748 044 177 005
0749 034 177 005
0750 025 177 005
0751 018 177 005
0752 013 177 004
0753 009 177 004
0754 006 177 004
0755 003 177 003
0756 002 177 003
0757 001 177 003
0758 000 177 002
0759 000 177 002
0760 000 178 001
0761 000 178 001
0762 000 178 001
0763 000 178 001
0764 000 178 002
0765 000 178 003
0766 000 179 005
0767 000 179 007
0768 000 178 013
0769 000 179 023
0770 000 179 036
0771 000 179 058
0772 000 179 084
0773 000 180 111
0774 000 180 136
0775 000 180 156
0776 000 180 171
0777 000 180 180
0778 000 180 186
0779 000 181 189
0780 000 181 191
0781 000 181 193
0782 000 181 194
0783 001 182 194
0784 003 182 195
0785 006 182 195
0786 010 182 194
0787 017 183 194
0788 026 183 193
0789 036 184 193
0790 047 184 192
0791 060 184 192
0792 075 184 192
0793 089 185 192
0794 105 185 191
0795 120 185 191
0796 135 186 191
0797 148 187 191
0798 158 187 192
0799 167 187 192
0800 175 187 192
0801 181 187 193
0802 185 188 193
0803 188 188 194
0804 189 188 193
0805 191 188 193
0806 192 188 191
0807 193 187 189
0808 194 187 187
0809 195 186 183
0810 196 186 178
0811 197 185 169
0812 197 184 157
0813 197 182 141
0814 197 180 121
0815 197 178 098
0816 197 174 074
0817 197 168 051
0818 197 158 031
0819 197 144 018
0820 197 128 009
0821 196 110 005
0822 196 091 003
0823 196 072 002
0824 196 055 002
0825 196 041 002
0826 195 029 002
0827 195 019 002
0828 195 012 002
0829 194 007 003
0830 194 003 003
0831 194 001 004
0832 193 000 004
0833 193 000 004
0834 193 000 004
0835 192 000 005
0836 192 000 004
0837 192 000 004
0838 192 000 004
0839 192 000 004
0840 191 000 003
0841 191 000 003
0842 191 000 002
0843 191 000 002
0844 191 000 002
